date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,currency,change,changePercent,label,changeOverTime
2003-04-01,19.17,21.2,21.05,18.81,1262035,1.36,1.47,1.47,1.36,17288898,,0.0,0.0,"Apr 1, 03",0.0
2003-04-02,20.05,21.0,21.22,20.17,1660073,1.45,1.45,1.51,1.4,22922431,,0.0654,4.7725,"Apr 2, 03",0.048173
2003-04-03,21.0,20.5,20.4,19.96,580175,1.5,1.47,1.5,1.5,8307489,,0.0118,0.8327,"Apr 3, 03",0.055144
2003-04-04,19.92,20.38,21.17,20.27,429014,1.4,1.5,1.53,1.4,6183610,,-0.0327,-2.339,"Apr 4, 03",0.031453
2003-04-07,20.41,20.6,21.82,19.83,757192,1.48,1.45,1.57,1.47,10539798,,0.0294,2.1296,"Apr 7, 03",0.052347
2003-04-08,20.91,20.4,20.6,19.7,451331,1.48,1.47,1.52,1.39,6407899,,0.0167,1.1786,"Apr 8, 03",0.065368
2003-04-09,20.7,21.01,21.3,20.0,430738,1.46,1.54,1.5,1.49,5981607,,0.0164,1.0917,"Apr 9, 03",0.076123
2003-04-10,21.59,21.16,21.22,20.98,402337,1.5,1.48,1.54,1.49,5458678,,0.0461,3.1788,"Apr 10, 03",0.113349
2003-04-11,21.22,21.0,22.3,21.67,345494,1.48,1.5,1.55,1.49,4912044,,-0.018,-1.2362,"Apr 11, 03",0.096966
2003-04-14,20.5,21.28,21.3,20.9,391296,1.47,1.52,1.55,1.45,5556625,,-0.0407,-2.8483,"Apr 14, 03",0.067367
2003-04-15,20.62,20.3,21.2,19.81,468910,1.5,1.48,1.48,1.47,6544390,,-0.0008,-0.0563,"Apr 15, 03",0.066313
2003-04-16,21.54,21.21,21.25,20.9,336972,1.51,1.48,1.48,1.48,4666807,,0.0278,1.9215,"Apr 16, 03",0.088109
2003-04-17,22.41,21.45,22.0,20.64,990085,1.59,1.53,1.59,1.53,14169476,,0.1038,7.0855,"Apr 17, 03",0.165769
2003-04-21,24.87,24.9,25.16,22.9,3559999,1.78,1.71,1.85,1.65,49562937,,0.2,12.4671,"Apr 21, 03",0.309566
2003-04-22,23.62,25.49,25.46,22.95,2247398,1.66,1.83,1.76,1.7,31501033,,-0.1229,-6.9793,"Apr 22, 03",0.211596
2003-04-23,21.72,24.16,24.0,20.21,2645031,1.49,1.69,1.72,1.45,38298515,,-0.1629,-9.807,"Apr 23, 03",0.095815
2003-04-24,22.47,21.12,23.87,20.4,2580207,1.57,1.53,1.7,1.5,35942896,,0.0961,6.53,"Apr 24, 03",0.166387
2003-04-25,21.55,22.91,22.8,21.0,1096646,1.55,1.65,1.64,1.54,15378137,,-0.0644,-4.0571,"Apr 25, 03",0.116693
2003-04-28,22.28,22.0,22.74,22.0,1664391,1.66,1.6,1.66,1.5,23480149,,0.0728,4.8418,"Apr 28, 03",0.168901
2003-04-29,23.5,23.02,24.0,23.2,1482544,1.65,1.64,1.7,1.59,20486800,,0.0468,3.0097,"Apr 29, 03",0.20361
2003-04-30,23.2,23.2,24.11,22.79,821265,1.67,1.71,1.68,1.56,11520509,,0.0,0.0,"Apr 30, 03",0.20758
2003-05-01,23.3,22.86,23.92,22.52,1115729,1.66,1.66,1.67,1.6,15376151,,-0.022,-1.3618,"May 1, 03",0.193153
2003-05-02,23.25,23.03,23.0,23.1,921498,1.62,1.6,1.7,1.6,12706821,,0.0095,0.5959,"May 2, 03",0.202188
2003-05-05,24.46,23.16,24.63,22.51,1069593,1.73,1.7,1.81,1.6,15007359,,0.0529,3.2979,"May 5, 03",0.23609
2003-05-06,23.98,23.79,25.34,23.1,1085450,1.7,1.7,1.78,1.66,15281245,,-0.0112,-0.642,"May 6, 03",0.231918
2003-05-07,24.1,24.06,24.0,23.56,983441,1.76,1.73,1.7,1.68,13688671,,0.0302,1.837,"May 7, 03",0.257747
2003-05-08,23.99,24.28,23.55,23.82,748795,1.66,1.7,1.73,1.71,10167238,,-0.0542,-3.3202,"May 8, 03",0.213345
2003-05-09,23.34,23.3,24.1,23.3,424856,1.66,1.65,1.73,1.65,6015772,,-0.0187,-1.1947,"May 9, 03",0.201541
2003-05-12,23.88,23.26,24.86,23.5,855308,1.76,1.66,1.72,1.68,12193006,,0.066,4.029,"May 12, 03",0.24546
2003-05-13,25.69,24.9,25.86,24.5,1345821,1.8,1.71,1.8,1.69,18497413,,0.1213,6.997,"May 13, 03",0.328369
2003-05-14,25.21,26.69,26.56,25.18,1404130,1.82,1.87,1.91,1.81,19982337,,-0.0487,-2.7846,"May 14, 03",0.29343
2003-05-15,24.52,25.42,25.04,24.4,796329,1.79,1.78,1.83,1.77,10928735,,-0.0015,-0.087,"May 15, 03",0.299887
2003-05-16,23.88,25.67,25.3,24.0,946600,1.8,1.79,1.82,1.71,13177604,,-0.0487,-2.776,"May 16, 03",0.264199
2003-05-19,21.82,23.7,23.98,21.33,2204024,1.52,1.7,1.73,1.49,31617288,,-0.217,-12.9419,"May 19, 03",0.099573
2003-05-20,21.98,21.57,22.77,21.03,1484526,1.61,1.55,1.62,1.5,20972824,,0.0691,4.7455,"May 20, 03",0.15345
2003-05-21,21.7,21.79,22.86,20.98,691816,1.57,1.55,1.59,1.53,9531844,,-0.04,-2.6746,"May 21, 03",0.122758
2003-05-22,22.94,21.76,23.83,21.8,1041005,1.62,1.55,1.69,1.56,14572646,,0.1,6.9128,"May 22, 03",0.191727
2003-05-23,22.91,23.7,24.2,22.6,591084,1.66,1.67,1.66,1.61,8324383,,-0.035,-2.1447,"May 23, 03",0.170796
2003-05-27,22.75,22.6,24.01,22.0,1003453,1.66,1.64,1.72,1.62,14164421,,0.0424,2.674,"May 27, 03",0.199334
2003-05-28,23.0,22.86,24.23,22.75,750097,1.65,1.66,1.69,1.59,10368422,,-0.0065,-0.3999,"May 28, 03",0.192413
2003-05-29,23.3,23.46,23.24,23.02,527163,1.65,1.68,1.65,1.63,7346813,,0.0148,0.8873,"May 29, 03",0.20459
2003-05-30,22.6,23.08,23.57,23.18,753739,1.63,1.71,1.72,1.59,10665074,,-0.0219,-1.3274,"May 30, 03",0.188528
2003-06-02,23.5,23.52,24.87,22.51,1306775,1.68,1.65,1.79,1.62,17650387,,0.0575,3.6811,"Jun 2, 03",0.234261
2003-06-03,24.0,0.0,0.0,0.0,0,1.71,0.0,0.0,0.0,0,,0.0,0.0,"Jun 3, 03",0.229426
2003-06-04,25.3,24.44,26.2,24.79,906244,1.77,1.76,1.8,1.76,12571524,,0.0803,4.7721,"Jun 4, 03",0.291888
2003-06-05,26.27,25.01,26.25,24.3,977046,1.9,1.81,1.87,1.72,13474265,,0.0734,4.1568,"Jun 5, 03",0.349634
2003-06-06,23.88,26.09,26.53,23.3,1398285,1.73,1.87,1.93,1.72,19227716,,-0.1325,-7.371,"Jun 6, 03",0.250301
2003-06-09,23.0,24.48,24.49,22.5,974993,1.66,1.71,1.72,1.63,13562252,,-0.045,-2.5857,"Jun 9, 03",0.223507
2003-06-10,23.6,22.23,24.29,21.79,4560378,1.68,1.64,1.69,1.52,65188663,,-0.0225,-1.3687,"Jun 10, 03",0.200656
2003-06-11,23.1,22.3,23.56,22.8,1292221,1.6,1.6,1.71,1.59,18462823,,-0.018,-1.1215,"Jun 11, 03",0.18812
2003-06-12,22.59,22.46,23.6,21.44,1351752,1.58,1.64,1.67,1.54,18473830,,-0.0397,-2.481,"Jun 12, 03",0.162133
2003-06-13,19.7,21.62,21.42,18.53,4943667,1.43,1.55,1.54,1.35,68123999,,-0.2037,-12.569,"Jun 13, 03",0.012979
2003-06-16,22.74,19.59,21.96,19.6,2313667,1.62,1.45,1.62,1.42,33438313,,0.1885,13.3516,"Jun 16, 03",0.148481
2003-06-17,21.99,22.33,22.7,21.74,1279556,1.58,1.56,1.62,1.56,18386511,,-0.0403,-2.5503,"Jun 17, 03",0.122394
2003-06-18,22.11,22.09,22.28,21.49,796546,1.59,1.57,1.6,1.53,11223002,,0.0185,1.1964,"Jun 18, 03",0.136416
2003-06-19,22.42,22.4,23.0,22.3,1139956,1.62,1.56,1.62,1.58,16085515,,0.0373,2.4143,"Jun 19, 03",0.164804
2003-06-20,22.4,22.37,23.46,21.45,969437,1.57,1.66,1.67,1.55,13435664,,-0.0196,-1.2652,"Jun 20, 03",0.149587
2003-06-23,21.8,22.21,22.64,21.44,627939,1.61,1.56,1.63,1.53,8880216,,-0.0146,-0.9453,"Jun 23, 03",0.135391
2003-06-24,23.62,22.4,25.04,21.4,2505265,1.68,1.59,1.73,1.57,34574422,,0.0977,6.4577,"Jun 24, 03",0.211365
2003-06-25,23.51,24.5,24.49,23.05,1373855,1.67,1.75,1.8,1.64,19772310,,0.0197,1.2415,"Jun 25, 03",0.221005
2003-06-26,25.84,23.38,25.82,23.6,2390399,1.84,1.72,1.8,1.67,33831163,,0.13,7.7527,"Jun 26, 03",0.316949
2003-06-27,25.3,25.38,26.34,25.16,1356655,1.84,1.83,1.88,1.81,18166535,,0.0015,0.0857,"Jun 27, 03",0.31584
2003-06-30,25.99,25.66,27.39,25.35,1974632,1.89,1.86,1.92,1.86,27667032,,0.0485,2.6685,"Jun 30, 03",0.36074
2003-07-01,25.76,26.4,26.5,24.46,919253,1.83,1.87,1.87,1.74,12701812,,-0.0593,-3.2547,"Jul 1, 03",0.31393
2003-07-02,27.6,26.17,27.9,25.93,2901238,2.02,1.89,2.01,1.84,39502138,,0.1732,9.751,"Jul 2, 03",0.439785
2003-07-03,27.97,28.1,29.0,27.5,609278,1.98,1.94,2.04,1.99,8425402,,0.0438,2.2077,"Jul 3, 03",0.47716
2003-07-07,28.0,27.6,28.8,26.8,1433943,1.97,1.96,2.11,1.97,19943487,,-0.0701,-3.5752,"Jul 7, 03",0.429842
2003-07-08,27.74,28.0,29.0,27.6,806315,2.02,1.93,2.03,1.96,10816087,,0.047,2.3849,"Jul 8, 03",0.458182
2003-07-09,27.76,28.6,28.71,28.1,713022,2.01,2.06,2.0,1.99,9823576,,0.0097,0.4748,"Jul 9, 03",0.465862
2003-07-10,27.92,28.46,28.23,27.9,646174,1.98,2.01,2.0,1.95,9039055,,-0.0487,-2.3672,"Jul 10, 03",0.436381
2003-07-11,26.96,26.77,27.49,26.39,586151,1.94,1.9,2.04,1.93,8198386,,-0.03,-1.6331,"Jul 11, 03",0.401736
2003-07-14,28.38,27.2,29.08,26.95,875545,2.02,1.9,2.06,1.97,12284911,,0.12,6.3184,"Jul 14, 03",0.50801
2003-07-15,27.39,26.73,28.58,27.37,1295488,1.9,1.94,2.0,1.88,18281370,,-0.1299,-6.4205,"Jul 15, 03",0.391759
2003-07-16,25.82,27.86,28.0,25.2,994338,1.83,2.0,1.96,1.81,14079375,,-0.0663,-3.5661,"Jul 16, 03",0.345692
2003-07-17,26.16,26.06,26.1,25.64,1284622,1.86,1.8,1.87,1.81,17397112,,-0.0144,-0.8169,"Jul 17, 03",0.335742
